[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000819s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000907s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_template ] --START--
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001082s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001132s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run ParseTemplate Behavior [ RunTime:0.008433s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008497s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run ContentReplace Behavior [ RunTime:0.000665s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run TokenBuild Behavior [ RunTime:0.000670s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000562s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000703s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002721s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_end ] --START--
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000908s ]
[ 2013-04-22T00:02:25+08:00 ] /attendance/teacher.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000963s ]
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | INFO: Tag[ route_check ] --START--
[ 2013-04-22T00:02:29+08:00 ] /attendance/teacher.php/Notice/getNotice?_dc=1366560149633&page=1&start=0&limit=20 | INFO: Run CheckRoute Behavior [ RunTime:0.001762s ]
