[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.000959s ]
[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001080s ]
[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000584s ]
[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000647s ]
[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `class` [ RunTime:0.003041s ]
[ 2013-04-21T13:37:00+08:00 ] /attendance/teacher.php/Lib/getSeatClass?_dc=1366522620259&query=4%2C2012%2C1%2C2009%2C1&page=1&start=0&limit=25 | SQL: SELECT `name`,`id` FROM `class` WHERE `familyid`=1 and `grade`=2009 GROUP BY name  [ RunTime:0.000594s ]
[ 2013-04-21T13:37:02+08:00 ] /attendance/teacher.php/Lib/getsubject?_dc=1366522622164&query=5%2C2012%2C1%2C2009%2C1%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T13:37:02+08:00 ] /attendance/teacher.php/Lib/getsubject?_dc=1366522622164&query=5%2C2012%2C1%2C2009%2C1%2C1&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.000854s ]
[ 2013-04-21T13:37:02+08:00 ] /attendance/teacher.php/Lib/getsubject?_dc=1366522622164&query=5%2C2012%2C1%2C2009%2C1%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000947s ]
[ 2013-04-21T13:37:02+08:00 ] /attendance/teacher.php/Lib/getsubject?_dc=1366522622164&query=5%2C2012%2C1%2C2009%2C1%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T13:37:02+08:00 ] /attendance/teacher.php/Lib/getsubject?_dc=1366522622164&query=5%2C2012%2C1%2C2009%2C1%2C1&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000496s ]
[ 2013-04-21T13:37:02+08:00 ] /attendance/teacher.php/Lib/getsubject?_dc=1366522622164&query=5%2C2012%2C1%2C2009%2C1%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000542s ]
[ 2013-04-21T13:37:02+08:00 ] /attendance/teacher.php/Lib/getsubject?_dc=1366522622164&query=5%2C2012%2C1%2C2009%2C1%2C1&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `schedule` [ RunTime:0.003361s ]
