[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000667s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000821s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003648s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000839s ]
[ 2013-04-03T10:38:11+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000879s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001206s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001268s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002688s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002758s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009062s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009137s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.001081s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000922s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000731s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000828s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003704s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000840s ]
[ 2013-04-03T10:38:57+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000881s ]
[ 2013-04-03T12:47:29+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T12:47:29+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001268s ]
[ 2013-04-03T12:47:29+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001335s ]
[ 2013-04-03T12:47:29+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T12:47:29+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001640s ]
[ 2013-04-03T12:47:29+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001701s ]
[ 2013-04-03T12:47:29+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009592s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009654s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000773s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000806s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000653s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000820s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003168s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000827s ]
[ 2013-04-03T12:47:30+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000868s ]
[ 2013-04-03T12:48:47+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T12:48:47+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001194s ]
[ 2013-04-03T12:48:47+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001258s ]
[ 2013-04-03T12:48:47+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T12:48:47+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001791s ]
[ 2013-04-03T12:48:47+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001856s ]
[ 2013-04-03T12:48:47+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009383s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009468s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000927s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000807s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000656s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002445s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004973s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000882s ]
[ 2013-04-03T12:48:48+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000924s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001268s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001339s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001599s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001653s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.010833s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010897s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000802s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000929s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000685s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001156s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003715s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001325s ]
[ 2013-04-03T12:49:10+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001378s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --START--
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001248s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001314s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --START--
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run LocationTemplate Behavior [ RunTime:0.001679s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.001732s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --START--
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run ParseTemplate Behavior [ RunTime:0.009709s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009770s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --START--
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run ContentReplace Behavior [ RunTime:0.000784s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run TokenBuild Behavior [ RunTime:0.000860s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001183s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run ShowRuntime Behavior [ RunTime:0.002495s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005469s ]
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Tag[ view_end ] --START--
[ 2013-04-03T12:49:34+08:00 ] /attendance/login.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000971s ]
