[ 2013-04-21T14:36:31+08:00 ] /attendance/index.php/Lib/getEndTerm?_dc=1366526191902&query=1%2C2012&page=1&start=0&limit=25 | SQL: SELECT `term` as `end_term` FROM `schedule` WHERE `year`=2012 GROUP BY `end_term`  [ RunTime:0.000428s ]
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --START--
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Run CheckRoute Behavior [ RunTime:0.001118s ]
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001240s ]
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --START--
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000636s ]
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000708s ]
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | SQL: SHOW COLUMNS FROM `schedule` [ RunTime:0.003549s ]
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | SQL: SELECT max(`startweek`) as start,max(`endweek`) as end FROM `schedule` WHERE `year`=2012 and `term`=1  [ RunTime:0.000457s ]
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
[ 2013-04-21T14:36:33+08:00 ] /attendance/index.php/Lib/getEndWeek?_dc=1366526193597&query=2%2C2012%2C1&page=1&start=0&limit=25 | NOTIC: [8] Undefined variable: start LibAction.class.php 第 262 行.
